word,num
foxnews,292
foxandfriends,232
whitehouse,130
nytimes,75
cnn,68
loudobbs,63
seanhannity,59
flotus,52
tuckercarlson,37
mariabartiromo,35
ingrahamangle,31
vp,30
oann,28
senatemajldr,26
judgejeanine,25
fema,23
marklevinshow,23
washingtonpost,21
emmanuelmacron,20
greggjarrett,19
foxbusiness,17
lindseygrahamsc,17
varneyco,17
eddierispone,17
abeshinzo,17
gopleader,16
msnbc,16
dhsgov,15
nbcnews,15
kilmeade,14
breitbartnews,14
usnavy,14
jessebwatters,13
stevehiltonx,13
netanyahu,12
mattbevin,12
abc,11
ainsleyearhardt,10
cdcgov,10
greggutfeld,10
petehegseth,10
tigerwoods,10
marthamaccallum,9
trish_regan,9
stevedoocy,9
stevescalise,9
justintrudeau,8
bretbaier,8
devinnunes,8
secpompeo,8
byronyork,8
judicialwatch,8
narendramodi,7
randpaul,7
repmarkmeadows,7
repdougcollins,7
alandersh,7
uscg,7
cabinet,7
stevedaines,6
senategop,6
secazar,6
nascar,6
cvpayne,6
katiepavlich,6
dbongino,6
nextrevfnc,6
armywp_football,6
tatereeves,6
donnabrazile,6
tomfitton,6
wsj,6
icegov,6
mikedewine,5
teamcavuto,5
gavinnewsom,5
rudygiuliani,5
senrickscott,5
marcorubio,5
joesquawk,5
cnbc,5
jairbolsonaro,5
robertjeffress,5
kimstrassel,5
60minutes,5
billhemmer,5
chuckgrassley,5
g7,5
nasa,5
nra,5
usmc,5
rondesantisfl,5
petestauber,5
troy_balderson,5
deptvetaffairs,5
speakerryan,5
ricardorossello,5
usnationalguard,4
nycmayor,4
hhsgov,4
charliekirk11,4
richardgrenell,4
govrondesantis,4
mittromney,4
esperdod,4
borisjohnson,4
replouiegohmert,4
brithume,4
jimcramer,4
nato,4
washtimes,4
nikkihaley,4
nypost,4
grahamledger,4
gma,4
henrymcmaster,4
wvgovernor,4
usarmy,4
statedept,4
rt_erdogan,4
secshulkin,4
usga,4
sbagov,3
ustreasury,3
usacehq,3
maddow,3
govbilllee,3
lisamarieboothe,3
edhenry,3
marshablackburn,3
sencorygardner,3
repratcliffe,3
cpac,3
judgenap,3
harrisfaulkner,3
sencapito,3
mattformontana,3
mzhemingway,3
repleezeldin,3
heatherchilders,3
wef,3
stephenmoore,3
gstephanopoulos,3
att,3
dcexaminer,3
heytammybruce,3
sentedcruz,3
exxonmobil,3
senjohnkennedy,3
govmikehuckabee,3
jasoninthehouse,3
shannonbream,3
rterdogan,3
edrollins,3
peterschweizer,3
billdeblasio,3
usairforce,3
marianorivera,3
business,3
alsisiofficial,3
google,3
repcummings,3
jim_jordan,3
theresa_may,3
natlparkservice,3
jpn_pmo,3
iagovernor,3
wwp,3
themasters,3
geraldorivera,3
briankempga,3
cindyhydesmith,3
senschumer,3
secretaryzinke,3
hawleymo,3
theleegreenwood,3
dannytarkanian,3
giuseppeconteit,3
vfwhq,3
potus,3
housegop,3
turnbullmalcolm,3
shopfloornam,3
govabbott,3
un,3
ivankatrump,3
fedex,2
bankofamerica,2
ford,2
repthomasmassie,2
jentezen,2
senatortimscott,2
jackbrewerbsi,2
grangercampaign,2
abcnews,2
kayleighmcenany,2
comcast,2
cbsnews,2
congressmanjvd,2
senmcsallyaz,2
tommcclintock,2
claudiatenney,2
danaperino,2
repdlesko,2
superbowl,2
repmikejohnson,2
arifleischer,2
davos,2
ufc,2
jonvoight,2
jiminhofe,2
marcthiessen,2
denver4va,2
navyfb,2
danhenninger,2
debbielesko,2
repswalwell,2
betsydevosed,2
lopezobrador_,2
repandybiggsaz,2
elisestefanik,2
repmiketurner,2
charleshurt,2
seanspicer,2
rushlimbaugheib,2
glfop,2
gm,2
toyota,2
terrymoran,2
jasonchaffetz,2
stlouisblues,2
joniernst,2
bensasse,2
docabraham,2
lagop,2
senbillcassidy,2
mediabuzzfnc,2
clewandowski_,2
nhc_atlantic,2
abcworldnews,2
nws,2
diamondandsilk,2
davidasmanfox,2
secretaryross,2
erictrump,2
laraleatrump,2
saracarterdc,2
erinburnett,2
sundarpichai,2
senjoniernst,2
andypuzder,2
thomashomanice,2
tpusa,2
specialolympics,2
secretservice,2
team_penske,2
asahutchinson,2
jacknicklaus,2
garyplayer,2
arlingtonnatl,2
tomcottonar,2
presssec,2
redsox,2
newtgingrich,2
govkristinoem,2
u_s_steel,2
joeylogano,2
thebig_easy,2
wattersworld,2
rjc,2
cbp,2
senjohnbarrasso,2
facethenation,2
cbs,2
clemsonfb,2
drudge_report,2
gop,2
marthamcsally,2
dougducey,2
realdonaldtrump,2
usforcesjapan,2
mauriciomacri,2
braun4indiana,2
scottforflorida,2
gregformontana,2
deanheller,2
jimhagedornmn,2
davebratva7th,2
scottwalker,2
leahvukmir,2
abc2020,2
secnielsen,2
markburnetttv,2
johnkasich,2
junckereu,2
senatordole,2
govwalker,2
senjohnhoeven,2
wapo,2
martintruex_jr,2
repdandonovan,2
navalacademy,2
interior,2
astros,2
saccone4pa18,2
nbc,2
westervillepd,2
colts,2
daveweigel,2
senorrinhatch,2
edwgillespie,2
nygovcuomo,2
antonioguterres,2
secondlady,2
secretaryperry,2
secpricemd,2
morning_joe,2
commercegov,2
presidentruvi,2
usedgov,2
raul_labrador,2
senatorsessions,2
oreillyfactor,2
davidmuir,2
dupont_news,1
gayletrotter,1
greglaurie,1
harvestorg,1
littleleagueceo,1
littleleague,1
johnboozman,1
deptofdefense,1
atlasairww,1
battelle,1
larry_kudlow,1
fda,1
generalmotors,1
ups,1
jbpritzker,1
jennpellegrino,1
us_fda,1
stevefda,1
herschelwalker,1
freechapel,1
ttuberville,1
dhs_wolf,1
stevenpalazzo,1
guestcongress,1
amyklobuchar,1
petebuttigieg,1
marialeetn,1
ronaldklain,1
sentomcotton,1
latinocoalition,1
ericgarcetti,1
nih,1
fischbachmn7,1
billcassidy,1
cdcdirector,1
johnjharwood,1
ronnyjackson4tx,1
rjharris15,1
repkevinbrady,1
realcandaceo,1
giannocaldwell,1
tulsigabbard,1
lvmpd,1
jrubinblogger,1
louiegohmerttx1,1
repmichaelwaltz,1
jodeyarrington,1
mointhehouse,1
mchenrycampaign,1
carnivalcruise,1
mickyarison,1
nmalliotakis,1
wesleyhunttx,1
augustpfluger,1
bethvanduyne,1
jayobernolte,1
dagenmcdowell,1
mirandadevine,1
dougjones,1
larrysabato,1
howardkurtz,1
repdebdingell,1
leesmithdc,1
astro_christina,1
astro_jessica,1
foxnetworks,1
corybooker,1
michaelcburgess,1
babin4congress,1
repdonbacon,1
foxbus,1
kellyannepolls,1
gantzbe,1
whnsc,1
txrandy14,1
judgejohncarter,1
reprwilliams,1
paulkrugman,1
serenawilliams,1
kbsalsaud,1
karlrove,1
mactxpress,1
hascrepublicans,1
sascmajority,1
bradyfortexas,1
scottrtipton,1
buddy_carter,1
markwaynemullin,1
jeanineanez,1
foxnewpolls,1
armynavygame,1
jason_meister,1
brettkavanaugh,1
jimpressoffice,1
colbycovmma,1
ami_magazine,1
jaketurx,1
meetthepress,1
titoortiz,1
senalexander,1
lancegooden,1
10downingstreet,1
doks_art,1
cline4virginia,1
buckmcneely1,1
katrinapierson,1
franklingraham,1
billoreilly,1
donaldjtrumpjr,1
pearsonsharp,1
danawhite,1
tombrokaw,1
nationals,1
fiatchrysler_na,1
globlautomkrs,1
govdunleavy,1
martharaddatz,1
kamalaharris,1
lindseygraham,1
mazloumabdi,1
mustefabali,1
repmcclintock,1
steveducey,1
greggutfeldshow,1
debfisher,1
minneapolispd,1
wsjatlarge,1
ronjohnsonwi,1
andrewcmccarthy,1
senthomtillis,1
millerstream,1
blazetv,1
freedomcaucus,1
hyundai,1
kia,1
aptiv,1
apple,1
senshelby,1
freebeacon,1
kevinomccarthy,1
pnjaban,1
repdevinnunes,1
facebook,1
starcenter,1
yankees,1
guypbenson,1
alicetweet,1
condoleezzarice,1
jdanbishop,1
marksanford,1
johnlegend,1
lesterholtnbc,1
vanjones68,1
philiprucker,1
ashleyrparker,1
sarahhuckabee,1
govkemp,1
senatorfischer,1
jonkarl,1
gregabbott_tx,1
debramessing,1
noaa,1
readygov,1
flsert,1
reppeteking,1
fox,1
sandrasmithfox,1
andrewcuomo,1
realwayneroot,1
amvetshq,1
newsmax,1
iowastatefair,1
tedcruz,1
kevinolearytv,1
usatoday,1
americanewsroom,1
govofco,1
voteridplease,1
djaycameron,1
dhsmcaleenan,1
jaysekulow,1
chrisplanteshow,1
abcpolitics,1
swedishpm,1
kanyewest,1
worldgamesad,1
specialolyusa,1
pagop,1
sebgorka,1
drgregmurphy1,1
tamimbinhamad,1
mercedesschlapp,1
chucktodd,1
joebiden,1
teamtrump,1
trumpwarroom,1
parscale,1
timmurtaugh,1
marc_lotter,1
mpinoe,1
jedediahbila,1
lockheedmartin,1
sikorsky,1
markwarner,1
repadamschiff,1
markwarnerva,1
ncgop,1
ims,1
simonpagenaud,1
indycar,1
donnydeutsch,1
rick24barry,1
bettemidler,1
sadiqkhan,1
sen_joemanchin,1
nayibbukele,1
ralphnortham,1
af_academy,1
govmikedewine,1
govstitt,1
ianbremmer,1
philmickelson,1
quinnipiacpoll,1
newyorkpost,1
secretarysonny,1
justinamash,1
steveforbesceo,1
secbernhardt,1
govparsonmo,1
govpritzker,1
senmikelee,1
rxsummit,1
jack,1
twitter,1
johnkerry,1
pontifex,1
cher,1
frankluntz,1
wsjopinion,1
jensstoltenberg,1
httweets,1
repralphnorman,1
heathernauert,1
kennedynation,1
thedailybeast,1
arthelneville,1
lelandvittert,1
govricketts,1
anncoulter,1
ericbolling,1
westgatevegas,1
starparker,1
lauraingram,1
governorkayivey,1
djohnsonpga,1
jussiesmollett,1
mjrcitieschiefs,1
mcsheriffs,1
tvanews,1
thehill,1
johnrobertsfox,1
gillianhturner,1
dougwead,1
fitnessgov,1
kusinews,1
spoxdhs,1
tsa,1
ryanzinke,1
tim_cook,1
iiimef,1
votebradraff,1
stevenmnuchin1,1
realdrgina,1
mgoodwin_nypost,1
replamalfa,1
kencalvert,1
tomreedcongress,1
jerrybrowngov,1
mbwdc,1
terrybranstad,1
andrewgillum,1
debbiestabenow,1
votemarsha,1
johnfasony,1
morriseywv,1
carolmillerwv,1
walkerstapleton,1
kevinyoder,1
erik_paulsen,1
cathymcmorris,1
rodblum,1
jaketapper,1
buddforcongress,1
markharrisnc9,1
brucepoliquin,1
mikedunleavygov,1
lloydsmuckerpa,1
johnchrin,1
reploubarletta,1
toyotacenter,1
andrews_jba,1
dunncampaign,1
agpambondi,1
karinhousley,1
tomemmer,1
petesessions,1
sandyhook,1
moonriver365,1
jaywebbernj,1
prezydentpl,1
nycemergencymgt,1
savannahguthrie,1
todayshow,1
rasmussen_poll,1
carlbernstein,1
ukenyatta,1
jimbrownnfl32,1
nwshonolulu,1
parisdennard,1
dianeharkey,1
darrellissa,1
harleydavidson,1
lenaepstein,1
thefive,1
repdesantis,1
johnjamesmi,1
irf_ambassador,1
mike_pence,1
sharkgregnorman,1
amykremer,1
repclayhiggins,1
jimmyfallon,1
nvgop,1
rothfusforpa,1
nfib,1
kevincramer,1
rogerwicker,1
kimkardashian,1
sbalist,1
cortessteve,1
mbuhari,1
jimrenacci,1
gcsoflorida,1
norad_northcom,1
naskeywest,1
nscsafety,1
bernieandsid,1
77wabcradio,1
kerstikaljulaid,1
grybauskaite_lt,1
vejonis,1
anna_giaritelli,1
ustraderep,1
howiecarrshow,1
ambjohnbolton,1
senatecommerce,1
repbost,1
realromadowney,1
senatorwicker,1
judgenapolitano,1
orrinhatch,1
olympics,1
elonmusk,1
spacex,1
uscis,1
alain_berset,1
squawkcnbc,1
govmattbevin,1
march_for_life,1
farmbureau,1
dcsheriff,1
jamiejmcintyre,1
foxandfrlends,1
philbryantms,1
secretaryacosta,1
usdol,1
cfpb,1
theplumlinegs,1
billygraham,1
ussarizona,1
federalreserve,1
broadcom,1
joy_villa,1
danpatrick,1
reince,1
bpolitics,1
bradthor,1
nfl,1
heritage,1
tbn,1
presidentscup,1
impdnews,1
usun,1
marianorajoy,1
cia,1
dougburgum,1
brentsanfordnd,1
senatorheitkamp,1
nationalguard,1
sendrelief,1
redcross,1
salvationarmyus,1
tombossert45,1
louisianagov,1
americanlegion,1
marty_walsh,1
kissimmeepolice,1
mayorgimenez,1
merck,1
lisamurkowski,1
senjohnmccain,1
usembassyfrance,1
polizeihamburg,1
greta,1
cubs,1
marineband,1
jc_varela,1
wctc,1
faithandfreedom,1
johncornyn,1
uscgacademy,1
libertyu,1
pga_johndaly,1
worldjewishcong,1
astropeggy,1
patriots,1
ossoff,1
kingabdullahii,1
fbi,1
jclayfield,1
larsloekke,1
repkenbuck,1
republicanstudy,1
endakennytd,1
snoopdogg,1
mayorbowser,1
senateyouth,1
hotlinejosh,1
liliantintori,1
israelipm,1
betsydevos,1
intel,1
nordstrom,1
samsung,1
thebrodyfile,1
cbnnews,1
romoabcnews,1
